t,a,H,psi0,psi1,psi2,psi3,psi4,psi5,psi6,psi7,psi8,psi9,psi10,psi11,psi12,psi13,psi14,psi15,S,rho,pressure,w,dust_like_fraction,negative_pressure_fraction,acceleration,Hdot,torsion_trace_time,torsion_scalar,levi_civita_ricci_scalar,boundary_term,boundary_identity_residual,dirac_equivalence_residual,S_relative_error,density_relative_error,friedmann_relative_error
0.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,5.00000000000000000e-01,1.00000000000000000e+00,1.00000000000000000e+00,-7.60000000000000009e-01,-7.60000000000000009e-01,5.00000000000000028e-02,9.49999999999999956e-01,1.60000000000000031e-01,-8.39999999999999969e-01,7.00000000000000000e+00,4.20000000000000000e+01,4.42400000000000020e+01,8.62399999999999949e+01,1.42108547152020037e-14,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
1.00000000000000002e-02,1.01000810395385154e+00,9.91705889132648899e-01,9.65743264274026014e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.18499484405916477e-03,2.36998968811832954e-03,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.82871632137013007e-01,9.32665669341772974e-01,9.83480570540550936e-01,-7.49477829658769856e-01,-7.62066737370148517e-01,4.74165782873143815e-02,9.52583421712685618e-01,1.64470977454143963e-01,-8.19009593086233778e-01,6.94194122392854229e+00,4.13061839626958687e+01,4.36087776470538842e+01,8.49149616097497386e+01,1.42108547152020037e-14,0.00000000000000000e+00,1.20580348564941995e-11,2.86891361080948820e-12,1.76103928261980077e-13
2.00000000000000004e-02,1.02003281576751070e+00,9.83616201076463414e-01,9.32921335137280816e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-2.34150872719475229e-03,4.68301745438950458e-03,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.66460667568640408e-01,8.70364148206804744e-01,9.67500831017479523e-01,-7.39186098885711518e-01,-7.64015983436769686e-01,4.49800207040380387e-02,9.55019979295962052e-01,1.68399268558905635e-01,-7.99101562461188020e-01,6.88531340753524379e+00,4.06350349028439339e+01,4.29926246626686179e+01,8.36276595655125448e+01,0.00000000000000000e+00,0.00000000000000000e+00,5.02923428746187968e-11,1.18681878753259238e-11,2.70194200353628925e-12
2.99999999999999989e-02,1.03007470130567458e+00,9.75720515736156369e-01,9.01460276482707656e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-3.47172834507891671e-03,6.94345669015783342e-03,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.50730138241353828e-01,8.12678841667087926e-01,9.52030524821989022e-01,-7.29117266190907776e-01,-7.65854925005937548e-01,4.26813437425781553e-02,9.57318656257421852e-01,1.71834119619646564e-01,-7.80196405208784416e-01,6.83004361015309414e+00,3.99852820427940969e+01,4.23909597174691513e+01,8.23762417602632411e+01,0.00000000000000000e+00,0.00000000000000000e+00,1.20194505025075732e-10,2.81429014424008682e-11,6.76654572529544407e-12
4.00000000000000008e-02,1.04013428375289907e+00,9.68009172436377185e-01,8.71290713472137712e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-4.57770600018020217e-03,9.15541200036040434e-03,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.35645356736068856e-01,7.59231328951683104e-01,9.37041757914682250e-01,-7.19264153173678533e-01,-7.67590288371297502e-01,4.05121395358781500e-02,9.59487860464121822e-01,1.74820141327446832e-01,-7.62221616593512952e-01,6.77606420705463997e+00,3.93557538326803140e+01,4.18032358112645710e+01,8.11589896439448779e+01,1.42108547152020037e-14,0.00000000000000000e+00,1.16160041010777072e-10,2.69966482424541671e-11,6.69931088461651317e-12
5.00000000000000028e-02,1.05021204679690205e+00,9.60473203492195560e-01,8.42347484923923084e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-5.66136963478959965e-03,1.13227392695791993e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.21173742461961542e-01,7.09677489782225668e-01,9.22508774620433347e-01,-7.09619920105057700e-01,-7.69228369016902946e-01,3.84645387288713239e-02,9.61535461271128655e-01,1.77397783822745736e-01,-7.45110990803814710e-01,6.72331242444536858e+00,3.87453685343155385e+01,4.12289375078339759e+01,7.99743060421495215e+01,0.00000000000000000e+00,0.00000000000000000e+00,1.12687534967373456e-10,2.60049668878755212e-11,6.64177837313505413e-12
5.99999999999999978e-02,1.06030843754763615e+00,9.53104274406990082e-01,8.14569327184591740e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-6.72453192041781896e-03,1.34490638408356379e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.07284663592295870e-01,6.63704066108153246e-01,9.08407757886890876e-01,-7.00178043665186656e-01,-7.70775059532646911e-01,3.65311755841914235e-02,9.63468824415808611e-01,1.79603758116910317e-01,-7.28803999775964773e-01,6.67172992084893046e+00,3.81531258315007520e+01,4.06675784451374938e+01,7.88207042766382528e+01,0.00000000000000000e+00,0.00000000000000000e+00,1.09582372566273395e-10,2.51191313883394504e-11,6.58758478566094771e-12
7.00000000000000067e-02,1.07042386921936505e+00,9.45894629906084305e-01,7.87898585825338893e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-7.76889850759022484e-03,1.55377970151804497e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.93949292912669446e-01,6.21025604681653909e-01,8.94716650879325504e-01,-6.90932296516194366e-01,-7.72235875835268870e-01,3.47051552059141552e-02,9.65294844794085893e-01,1.81471410614209128e-01,-7.13245240270959036e-01,6.62126240934258981e+00,3.75780993371770649e+01,4.01186990857759938e+01,7.76967984229530657e+01,0.00000000000000000e+00,0.00000000000000000e+00,1.06703050651489952e-10,2.43030953421954066e-11,6.53017878190843521e-12
8.00000000000000017e-02,1.08055872359584249e+00,9.38837045199769071e-01,7.62280952414703505e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-8.79607551311913788e-03,1.75921510262382758e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.81140476207351753e-01,5.81381734191997457e-01,8.81414997433729308e-01,-6.81876728579303593e-01,-7.73615981761839322e-01,3.29800227977009031e-02,9.67019977202299152e-01,1.83031056448943241e-01,-6.98383940990489949e-01,6.57185931639838383e+00,3.70194298924561949e+01,3.95818646827414042e+01,7.66012945751975991e+01,0.00000000000000000e+00,0.00000000000000000e+00,1.04029485264361995e-10,2.35505862180299536e-11,6.47127837388886797e-12
8.99999999999999967e-02,1.09071335329847607e+00,9.31924781905541955e-01,7.37665223751454158e-01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,-9.80757631803253101e-03,1.96151526360650620e-02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.68832611875727079e-01,5.44534736545219111e-01,8.68483799124123990e-01,-6.73005649837490449e-01,-7.74920212117053309e-01,3.13497348536834405e-02,9.68650265146316580e-01,1.84310276626474590e-01,-6.84173522503217391e-01,6.52347347333879402e+00,3.64763195634470563e+01,3.90566634362177112e+01,7.55329829996647675e+01,0.00000000000000000e+00,0.00000000000000000e+00,1.01541717525880574e-10,2.28547859419170648e-11,6.41116221018223708e-12
