t,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,norm_v,norm_plus,norm_minus,trilinear
2.00000000000000000e+00,9.20249277030708912e-01,-3.98093075956220677e-01,0.00000000000000000e+00,0.00000000000000000e+00,7.29815943507624021e-02,-3.24282085189572236e-03,0.00000000000000000e+00,0.00000000000000000e+00,1.00868915802538872e+00,1.14540600403557000e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.37773701242048835e-02,-1.71558899293148215e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.76864749459857684e-01,2.83735156853729298e-01,0.00000000000000000e+00,0.00000000000000000e+00,-3.60314988184374171e-02,1.82953844082679701e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998771094e-01,9.99999999999590994e-01,1.00000000000034839e+00,9.99999999999355182e-01
2.10000000000000009e+00,9.12088704786161886e-01,-4.17967632342297779e-01,0.00000000000000000e+00,0.00000000000000000e+00,8.11731349343216696e-02,-3.69719495033186008e-03,0.00000000000000000e+00,0.00000000000000000e+00,1.00972163401735737e+00,1.20862056358137668e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.63572774093422410e-02,-1.81172744223393856e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.75093190042717994e-01,2.97222104581798430e-01,0.00000000000000000e+00,0.00000000000000000e+00,-3.89521389727202211e-02,1.93985668513626724e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998758216e-01,9.99999999999744760e-01,1.00000000000048894e+00,9.99999999999495737e-01
2.20000000000000018e+00,9.03530411111193921e-01,-4.37866301946849390e-01,0.00000000000000000e+00,0.00000000000000000e+00,8.98698725070788268e-02,-4.18428012773095544e-03,0.00000000000000000e+00,0.00000000000000000e+00,1.01082341106912410e+00,1.27239594535555528e-01,0.00000000000000000e+00,0.00000000000000000e+00,3.89345589538438383e-02,-1.90887356580168172e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.73321392907824268e-01,3.10648556467136017e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.19055821159428840e-02,2.05185237563619227e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998746669e-01,9.99999999999897304e-01,1.00000000000062772e+00,9.99999999999635514e-01
2.30000000000000027e+00,8.94573846818243479e-01,-4.57795874786467216e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.90823264370146589e-02,-4.70350632924298843e-03,0.00000000000000000e+00,0.00000000000000000e+00,1.01199568122731720e+00,1.33675816675816655e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.14972106760835846e-02,-2.00704918456777986e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.71556763981703986e-01,3.24013430761455556e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.48825770571976493e-02,2.16547461837698296e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998736455e-01,1.00000000000005129e+00,1.00000000000076428e+00,9.99999999999776068e-01
2.40000000000000036e+00,8.85218321018818810e-01,-4.77763732889121884e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.08821207743660109e-01,-5.25405348356796850e-03,0.00000000000000000e+00,0.00000000000000000e+00,1.01323953628666841e+00,1.40173850790936666e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.40331799139382987e-02,-2.10627978688599338e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.69806577794192659e-01,3.37315203975225242e-01,0.00000000000000000e+00,0.00000000000000000e+00,-4.78740374054798731e-02,2.28066704512805002e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998727684e-01,1.00000000000020428e+00,1.00000000000089906e+00,9.99999999999915401e-01
2.50000000000000000e+00,8.75462989164755068e-01,-4.97777862218224065e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.19097439553206966e-01,-5.83484404104940221e-03,0.00000000000000000e+00,0.00000000000000000e+00,1.01455597070000580e+00,1.46737364690902400e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.65303563663820585e-02,-2.20659461196481915e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.68077974335426417e-01,3.50551890811378608e-01,0.00000000000000000e+00,0.00000000000000000e+00,-5.08710387533327646e-02,2.39736793087629491e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998720135e-01,1.00000000000035771e+00,1.00000000000103140e+00,1.00000000000005485e+00
2.60000000000000009e+00,8.65306840846498004e-01,-5.17846865053019245e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.29922178343785111e-01,-6.44453541209865158e-03,0.00000000000000000e+00,0.00000000000000000e+00,1.01594588594043977e+00,1.53370580011053109e-01,0.00000000000000000e+00,0.00000000000000000e+00,4.89765627018563035e-02,-2.30802673896190191e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.66377956804396199e-01,3.63721025061345737e-01,0.00000000000000000e+00,0.00000000000000000e+00,-5.38648140694043265e-02,2.51551031151182380e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998714584e-01,1.00000000000051181e+00,1.00000000000116085e+00,1.00000000000019362e+00
2.70000000000000018e+00,8.54748687338854007e-01,-5.37979972868935175e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.41306836000971353e-01,-7.08151228469178825e-03,0.00000000000000000e+00,0.00000000000000000e+00,1.01741009632995261e+00,1.60078286836678685e-01,0.00000000000000000e+00,0.00000000000000000e+00,5.13595448473153429e-02,-2.41061318305323180e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.64713390201395127e-01,3.76819641550132423e-01,0.00000000000000000e+00,0.00000000000000000e+00,-5.68467473305060908e-02,2.63502210253524660e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998710365e-01,1.00000000000066569e+00,1.00000000000128852e+00,1.00000000000033262e+00
2.80000000000000027e+00,8.43787148883758276e-01,-5.58187059763164073e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.53263102705350568e-01,-7.74387879865467803e-03,0.00000000000000000e+00,0.00000000000000000e+00,1.01894933635212603e+00,1.66865859024281415e-01,0.00000000000000000e+00,0.00000000000000000e+00,5.36669619699665090e-02,-2.51439499984476345e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.63091000719490498e-01,3.89844259211853394e-01,0.00000000000000000e+00,0.00000000000000000e+00,-5.98083654246191199e-02,2.75582621968676389e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998708478e-01,1.00000000000082023e+00,1.00000000000141309e+00,1.00000000000047096e+00
2.90000000000000036e+00,8.32420641698688013e-01,-5.78478656472478314e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.65802970675794664e-01,-8.42945055340036352e-03,0.00000000000000000e+00,0.00000000000000000e+00,1.02056426947044576e+00,1.73739270322966932e-01,0.00000000000000000e+00,0.00000000000000000e+00,5.58863761613380139e-02,-2.61941739955051878e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.61517375893854553e-01,4.02790865371832452e-01,0.00000000000000000e+00,0.00000000000000000e+00,-6.27413283569047825e-02,2.87784070245850343e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998708478e-01,1.00000000000097522e+00,1.00000000000153610e+00,1.00000000000060951e+00
3.00000000000000000e+00,8.20647364698393500e-01,-5.98865965032070680e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.78938758794075503e-01,-9.13574642470239666e-03,0.00000000000000000e+00,0.00000000000000000e+00,1.02225549847753450e+00,1.80705111403893393e-01,0.00000000000000000e+00,0.00000000000000000e+00,5.80052418304039252e-02,-2.72572987242154785e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.59998965472336430e-01,4.15654901306097779e-01,0.00000000000000000e+00,0.00000000000000000e+00,-6.56374177911738382e-02,3.00097884150801741e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998710698e-01,1.00000000000113065e+00,1.00000000000165690e+00,1.00000000000074918e+00
3.10000000000000009e+00,8.08465285916618925e-01,-6.19360874126078098e-01,0.00000000000000000e+00,0.00000000000000000e+00,1.92683138138477067e-01,-9.85998016497670327e-03,0.00000000000000000e+00,0.00000000000000000e+00,1.02402357740473837e+00,1.87770607910704546e-01,0.00000000000000000e+00,0.00000000000000000e+00,6.00108948090606678e-02,-2.83338632697487658e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.58542082976079679e-01,4.28431249143764403e-01,0.00000000000000000e+00,0.00000000000000000e+00,-6.84885239594655026e-02,3.12514931104237337e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998714806e-01,1.00000000000128786e+00,1.00000000000177547e+00,1.00000000000088907e+00
3.20000000000000018e+00,7.95872128613462348e-01,-6.39975975182390244e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.07049158456231369e-01,-1.05990517603960083e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.02586902502576627e+00,1.94943639649482081e-01,0.00000000000000000e+00,0.00000000000000000e+00,6.18905411692641655e-02,-2.94244524264143326e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.57152907925225893e-01,4.41114220172360516e-01,0.00000000000000000e+00,0.00000000000000000e+00,-7.12866309724092539e-02,3.25025630728865034e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998721800e-01,1.00000000000144684e+00,1.00000000000189271e+00,1.00000000000103051e+00
3.30000000000000027e+00,7.82865357052940358e-01,-6.60724579266383505e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.22050275606872127e-01,-1.13495385169782009e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.02779233999255037e+00,2.02232761043073944e-01,0.00000000000000000e+00,0.00000000000000000e+00,6.36312457465833120e-02,-3.05296983852769099e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.55837488711799521e-01,4.53697544600580482e-01,0.00000000000000000e+00,0.00000000000000000e+00,-7.40238005628922890e-02,3.37619969420784594e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998731015e-01,1.00000000000160760e+00,1.00000000000200884e+00,1.00000000000117351e+00
3.40000000000000036e+00,7.69442161934219326e-01,-6.81620734830348241e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.37700380010986034e-01,-1.21076858465617651e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.02979401764616307e+00,2.09647222981780346e-01,0.00000000000000000e+00,0.00000000000000000e+00,6.52199203597759597e-02,-3.16502826006804183e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.54601746109721372e-01,4.66174362827164235e-01,0.00000000000000000e+00,0.00000000000000000e+00,-7.66921542952461455e-02,3.50287515764510782e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998743005e-01,1.00000000000176925e+00,1.00000000000212319e+00,1.00000000000131806e+00
3.50000000000000000e+00,7.55599445458810859e-01,-7.02679246377604372e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.54013826141348653e-01,-1.28693977223092969e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.03187456855050419e+00,2.17196996210421017e-01,0.00000000000000000e+00,0.00000000000000000e+00,6.66433117102235156e-02,-3.27869378543466372e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.53451477420517834e-01,4.78537218258564767e-01,0.00000000000000000e+00,0.00000000000000000e+00,-7.92838542716929190e-02,3.63017436913988689e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998758105e-01,1.00000000000193379e+00,1.00000000000223688e+00,1.00000000000146461e+00
3.60000000000000009e+00,7.41333806014827901e-01,-7.23915694102647334e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.71005463096067378e-01,-1.36302267720582321e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.03403453880159235e+00,2.24892796400868650e-01,0.00000000000000000e+00,0.00000000000000000e+00,6.78879889386360125e-02,-3.39404505366960596e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.52392361262670128e-01,4.90778051711703356e-01,0.00000000000000000e+00,0.00000000000000000e+00,-8.17910823671484655e-02,3.75798516064499266e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998776534e-01,1.00000000000210099e+00,1.00000000000235034e+00,1.00000000000161382e+00
3.70000000000000018e+00,7.26641522458150391e-01,-7.45346454571114037e-01,0.00000000000000000e+00,0.00000000000000000e+00,2.88690666296116061e-01,-1.43853639764614429e-02,0.00000000000000000e+00,0.00000000000000000e+00,1.03627453217065502e+00,2.32746111069339401e-01,0.00000000000000000e+00,0.00000000000000000e+00,6.89403308093259892e-02,-3.51116631661106848e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.51429963022666580e-01,5.02888197431371253e-01,0.00000000000000000e+00,0.00000000000000000e+00,-8.42060180226498894e-02,3.88619171142381925e-01,0.00000000000000000e+00,0.00000000000000000e+00,9.99999999998797739e-01,1.00000000000227063e+00,1.00000000000246358e+00,1.00000000000176592e+00
