N,a,tau,rho,psi0,psi1,psi2,psi3,psi4,psi5,psi6,psi7,psi8,psi9,psi10,psi11,psi12,psi13,psi14,psi15,S,U,w,E,S_relative_error,rho_relative_error,potential_relative_error,friedmann_relative_error
-3.86249999999999982e+00,2.10153953069020308e-02,-9.54723992662886434e-01,1.93775877645870724e-02,3.28239394263861527e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.21044567228952604e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.07742565125432302e+05,1.93775877427695697e-02,-1.44839076281585877e+00,1.82545657783136903e+02,4.42922567593919233e-09,8.60109378711785795e-10,1.12591427556568464e-09,4.36693917034232350e-16
-3.85833333333333339e+00,2.11031421329532266e-02,-9.54701095514988163e-01,1.94864954392856386e-02,3.26194295639447091e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.20290397978372177e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.06404165485699588e+05,1.94864954173902469e-02,-1.44833811472022811e+00,1.81403083952523303e+02,4.42505572318727660e-09,8.60300906771759884e-10,1.12361875651289455e-09,4.42212305959033014e-16
-3.85416666666666652e+00,2.11912553335298522e-02,-9.54678054149953881e-01,1.95960022837020700e-02,3.24161939020575005e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.19540927587257828e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.05082391712915836e+05,1.95960022617653398e-02,-1.44828524679988213e+00,1.80267682919155959e+02,4.41707712596647796e-09,8.60661050636262703e-10,1.11944925893974482e-09,5.59750404413919439e-16
-3.85000000000000009e+00,2.12797364383771684e-02,-9.54654867662163897e-01,1.97061114658480391e-02,3.22142245018485312e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.18796126779498268e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.03777037277523603e+05,1.97061114438818949e-02,-1.44823215813697370e+00,1.79139409435870476e+02,4.40788078723211541e-09,8.61065875178295404e-10,1.11468689517602458e-09,4.53458847386936596e-16
-3.84583333333333321e+00,2.13685869836277020e-02,-9.54631535140312848e-01,1.98168261692019572e-02,3.20135134739472505e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.18055966461543438e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.02487898215781926e+05,1.98168261471670347e-02,-1.44817884780982320e+00,1.78018218543159264e+02,4.40274592178587585e-09,8.61287211896264829e-10,1.11192994953427611e-09,4.59188766217285443e-16
-3.84166666666666679e+00,2.14578085118278632e-02,-9.54608055667401811e-01,1.99281495927594067e-02,3.18140529779572830e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.17320417720445080e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.01214773096468678e+05,1.99281495706742882e-02,-1.44812531489290319e+00,1.76904065567320941e+02,4.39569065314241112e-09,8.61582665632547825e-10,1.10823728906318923e-09,5.81238724883315922e-16
-3.83749999999999991e+00,2.15474025719647709e-02,-9.54584428320667699e-01,2.00400849511102944e-02,3.16158352224261989e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.16589451823745449e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.99574629911881639e+04,2.00400849289950542e-02,-1.44807155845682112e+00,1.75796906118619916e+02,4.38659126945686899e-09,8.61955337290715707e-10,1.10355022311752743e-09,5.88582999592573600e-16
-3.83333333333333348e+00,2.16373707194930896e-02,-9.54560652171549950e-01,2.01526354745000628e-02,3.14188524645188579e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.15863040218272650e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.87157714431291388e+04,2.01526354523308485e-02,-1.44801757756830396e+00,1.74696696089460772e+02,4.37993483685240349e-09,8.62221968648303679e-10,1.10006527103402491e-09,4.76815948215764329e-16
-3.82916666666666661e+00,2.17277145163621045e-02,-9.54536726285676096e-01,2.02658044088837828e-02,3.12230970095459327e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.15141154528401990e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.74895044352982368e+04,2.02658043866519241e-02,-1.44796337129018271e+00,1.73603391652571815e+02,4.37414944981180035e-09,8.62445452612646296e-10,1.09701338722709302e-09,6.03550699812210072e-16
-3.82500000000000018e+00,2.18184355310427625e-02,-9.54512649722817241e-01,2.03795950159918991e-02,3.10285612107241434e+02,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.14423766555171746e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,9.62784703606007679e+04,2.03795949937274103e-02,-1.44790893868137438e+00,1.72516949259202704e+02,4.36532457900317055e-09,8.62778204736618413e-10,1.09248927029799024e-09,6.11176475827643523e-16
